name,director,score,genre,year,votes
肖申克的救赎,弗兰克·德拉邦特,9.7,美国 / 犯罪,1994,3279112
霸王别姬,陈凯歌,9.6,中国香港 / 剧情,1993,2419028
泰坦尼克号,詹姆斯·卡梅隆,9.5,美国 / 剧情,1997,2494125
阿甘正传,罗伯特·泽米吉斯,9.5,美国 / 剧情,1994,2426678
千与千寻,宫崎骏,9.4,日本 / 剧情,2001,2532675
美丽人生,罗伯托·贝尼尼,9.5,意大利 / 剧情,1997,1480065
星际穿越,克里斯托弗·诺兰,9.4,加拿大 / 剧情,2014,2178422
这个杀手不太冷,吕克·贝松,9.4,美国 / 剧情,1994,2548889
盗梦空间,克里斯托弗·诺兰,9.4,英国 / 剧情,2010,2321805
楚门的世界,彼得·威尔,9.4,美国 / 剧情,1998,2014857
辛德勒的名单,史蒂文·斯皮尔伯格,9.5,美国 / 剧情,1993,1245411
忠犬八公的故事,莱塞·霍尔斯道姆,9.4,英国 / 剧情,2009,1541108
海上钢琴师,朱塞佩·托纳多雷,9.3,意大利 / 剧情,1998,1876800
疯狂动物城,拜伦·霍华德 Byron Howard,9.3,美国 / 喜剧,2016,2315194
三傻大闹宝莱坞,拉库马·希拉尼,9.2,印度 / 剧情,2009,2075412
机器人总动员,安德鲁·斯坦顿,9.3,美国 / 科幻,2008,1490185
放牛班的春天,克里斯托夫·巴拉蒂,9.3,德国 / 剧情,2004,1471558
无间道,刘伟强,9.3,刘伟强 / 麦兆辉,2002,1562088
控方证人,比利·怀尔德,9.6,美国 / 剧情,1957,741126
寻梦环游记,李·昂克里奇 Lee Unkrich,9.1,美国 / 喜剧,2017,1984985
大话西游之大圣娶亲,刘镇伟,9.2,中国大陆 / 喜剧,1995,1707286
熔炉,黄东赫,9.3,韩国 / 剧情,2011,1034888
触不可及,奥利维·那卡什 Olivier Nakache,9.3,法国 / 剧情,2011,1293708
教父,弗朗西斯·福特·科波拉,9.3,美国 / 剧情,1972,1105454
末代皇帝,贝纳尔多·贝托鲁奇,9.3,法国 / 剧情,1987,1027357
哈利·波特与魔法石,Chris,9.2,英国 / 奇幻,2001,1420529
当幸福来敲门,加布里尔·穆奇诺,9.1,美国 / 剧情,2006,1685905
龙猫,宫崎骏,9.2,日本 / 动画,1988,1409532
活着,张艺谋,9.3,中国香港 / 剧情,1994,968978
怦然心动,罗伯·莱纳,9.1,美国 / 剧情,2010,2048933
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,9.2,英国 / 剧情,2008,1191499
指环王3：王者无敌,彼得·杰克逊,9.3,新西兰 / 剧情,2003,909218
我不是药神,文牧野,9.0,中国大陆 / 剧情,2018,2347736
乱世佳人,维克多·弗莱明 Victor Fleming,9.3,美国 / 剧情,1939,794221
飞屋环游记,彼特·道格特 Pete Docter,9.1,美国 / 剧情,2009,1498942
让子弹飞,姜文,9.0,中国香港 / 剧情,2010,1918199
哈尔的移动城堡,宫崎骏,9.1,日本 / 爱情,2004,1289233
十二怒汉,西德尼·吕美特,9.4,美国 / 剧情,1957,578210
海蒂和爷爷,阿兰·葛斯彭纳,9.3,瑞士 / 剧情,2015,780012
素媛,李濬益,9.3,韩国 / 剧情,2013,775350
猫鼠游戏,史蒂文·斯皮尔伯格,9.1,加拿大 / 传记,2002,1209439
天空之城,宫崎骏,9.2,日本 / 动画,1986,1008118
鬼子来了,姜文,9.3,中国大陆 / 剧情,2000,714381
摔跤吧！爸爸,涅提·蒂瓦里,9.0,印度 / 剧情,2016,1743751
少年派的奇幻漂流,李安,9.1,加拿大 / 剧情,2012,1488524
钢琴家,罗曼·波兰斯基,9.3,美国 / 剧情,2002,749607
指环王2：双塔奇兵,彼得·杰克逊,9.2,新西兰 / 剧情,2002,856246
死亡诗社,彼得·威尔,9.2,美国 / 剧情,1989,881549
大话西游之月光宝盒,刘镇伟,9.0,中国大陆 / 喜剧,1995,1364488
绿皮书,彼得·法雷里,8.9,中国大陆 / 剧情,2018,1890832
何以为家,娜丁·拉巴基,9.1,英国 / 剧情,2018,1161784
闻香识女人,马丁·布莱斯,9.1,美国 / 剧情,1992,1022339
大闹天宫,万籁鸣,9.4,中国大陆 / 剧情,1961,509346
黑客帝国,安迪·沃卓斯基 Andy Wachowski,9.1,美国 / 动作,1999,949599
指环王1：护戒使者,彼得·杰克逊,9.1,英国 / 剧情,2001,959171
罗马假日,威廉·惠勒,9.1,美国 / 喜剧,1953,1047796
教父2,弗朗西斯·福特·科波拉,9.3,美国 / 剧情,1974,639425
狮子王,Roger Allers,9.1,美国 / 动画,1994,960183
天堂电影院,朱塞佩·托纳多雷,9.2,法国 / 剧情,1988,740970
饮食男女,李安,9.2,美国 / 剧情,1994,724815
辩护人,杨宇硕,9.2,韩国 / 剧情,2013,657743
本杰明·巴顿奇事,大卫·芬奇,9.0,美国 / 剧情,2008,1104549
搏击俱乐部,大卫·芬奇,9.0,美国 / 剧情,1999,974446
美丽心灵,朗·霍华德,9.1,美国 / 传记,2001,853196
穿条纹睡衣的男孩,马克·赫尔曼,9.2,美国 / 剧情,2008,641558
哈利·波特与死亡圣器(下),大卫·叶茨,9.0,英国 / 奇幻,2011,970416
情书,岩井俊二,8.9,日本 / 剧情,1995,1325196
两杆大烟枪,盖·里奇,9.1,英国 / 剧情,1998,677662
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,9.2,德国 / 剧情,2006,631747
音乐之声,罗伯特·怀斯,9.1,美国 / 剧情,1965,684054
功夫,周星驰,8.9,中国香港 / 动作,2004,1335712
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,9.0,美国 / 奇幻,2004,890866
阿凡达,詹姆斯·卡梅隆,8.8,美国 / 动作,2009,1585936
西西里的美丽传说,朱塞佩·托纳多雷,8.9,美国 / 剧情,2000,1093156
看不见的客人,奥里奥尔·保罗,8.8,西班牙 / 剧情,2016,1440582
拯救大兵瑞恩,史蒂文·斯皮尔伯格,9.1,美国 / 剧情,1998,724936
沉默的羔羊,乔纳森·戴米,8.9,美国 / 剧情,1991,1016131
小鞋子,马基德·马基迪,9.2,伊朗 / 剧情,1997,466053
布达佩斯大饭店,韦斯·安德森,8.9,英国 / 剧情,2014,1085540
蝴蝶效应,埃里克·布雷斯 Eric Bress,8.9,加拿大 / 剧情,2004,1068176
飞越疯人院,米洛斯·福尔曼,9.1,美国 / 剧情,1975,604047
还有明天,宝拉·柯特莱西,9.3,意大利 / 剧情,2023,371332
禁闭岛,Martin,8.9,美国 / 剧情,2010,1113492
心灵捕手,格斯·范·桑特,9.0,美国 / 剧情,1997,815397
致命魔术,克里斯托弗·诺兰,8.9,美国 / 剧情,2006,964467
低俗小说,昆汀·塔伦蒂诺,8.9,美国 / 剧情,1994,959867
哈利·波特与密室,Chris,8.9,美国 / 奇幻,2002,917296
超脱,托尼·凯耶,9.0,美国 / 剧情,2011,723588
一一,杨德昌,9.1,吴念真 / 李凯莉,2000,510607
喜剧之王,周星驰 Stephen Chow,8.8,中国香港 / 喜剧,1999,1095887
杀人回忆,奉俊昊,8.9,韩国 / 剧情,2003,837931
致命ID,詹姆斯·曼高德,8.9,美国 / 剧情,2003,949886
摩登时代,查理·卓别林,9.3,美国 / 剧情,1936,347264
春光乍泄,王家卫,9.0,韩国 / 剧情,1997,709924
加勒比海盗,戈尔·维宾斯基,8.8,美国 / 动作,2003,969445
海豚湾,路易·西霍尤斯,9.3,美国 / 纪录片,2009,382614
美国往事,赛尔乔·莱翁内,9.1,意大利 / 犯罪,1984,472240
红辣椒,今敏,9.0,日本 / 动画,2006,570853
七宗罪,大卫·芬奇,8.8,美国 / 剧情,1995,1062701
唐伯虎点秋香,李力持,8.8,中国香港 / 喜剧,1993,1225657
狩猎,托马斯·温特伯格,9.1,瑞典 / 剧情,2012,471233
幽灵公主,宫崎骏,8.9,日本 / 动画,1997,670543
甜蜜蜜,陈可辛,8.9,中国香港 / 剧情,1996,674529
寄生虫,奉俊昊,8.8,韩国 / 剧情,2019,1549955
天书奇谭,王树忱 Shuchen Wang,9.2,中国大陆 / 动画,1983,335758
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,8.9,英国 / 剧情,2012,815230
超能陆战队,唐·霍尔 Don Hall,8.8,美国 / 喜剧,2014,1146922
7号房的礼物,李焕庆,8.9,韩国 / 剧情,2013,622885
第六感,M·奈特·沙马兰,8.9,美国 / 剧情,1999,639298
茶馆,谢添,9.5,中国大陆 / 剧情,1982,209601
爱在黎明破晓前,理查德·林克莱特,8.8,瑞士 / 剧情,1995,802681
爱在日落黄昏时,理查德·林克莱特,8.9,法国 / 剧情,2004,655239
被嫌弃的松子的一生,中岛哲也,8.8,日本 / 剧情,2006,776134
头脑特工队,彼特·道格特 Pete Docter,8.8,美国 / 喜剧,2015,808192
哈利·波特与火焰杯,迈克·内威尔,8.8,美国 / 悬疑,2005,803483
未麻的部屋,今敏,9.1,日本 / 剧情,1997,426560
重庆森林,王家卫,8.8,中国香港 / 剧情,1994,924314
借东西的小人阿莉埃蒂,米林宏昌,8.9,日本 / 动画,2010,628993
菊次郎的夏天,北野武,8.9,日本 / 剧情,1999,674729
入殓师,泷田洋二郎,8.9,日本 / 剧情,2008,743954
断背山,李安,8.8,加拿大 / 剧情,2005,784185
剪刀手爱德华,蒂姆·波顿,8.7,美国 / 剧情,1990,1122035
勇敢的心,梅尔·吉布森,8.9,美国 / 动作,1995,606456
时空恋旅人,理查德·柯蒂斯,8.8,美国 / 喜剧,2013,795238
驯龙高手,迪恩·德布洛斯 Dean DeBlois,8.8,美国 / 动画,2010,867601
消失的爱人,大卫·芬奇,8.7,美国 / 剧情,2014,1075593
无人知晓,是枝裕和,9.1,日本 / 剧情,2004,373449
倩女幽魂,程小东,8.8,中国香港 / 爱情,1987,837284
傲慢与偏见,乔·怀特,8.7,美国 / 剧情,2005,938736
新世界,朴勋政,8.9,韩国 / 剧情,2013,529377
花样年华,王家卫,8.8,中国香港 / 剧情,2000,807422
玩具总动员3,李·昂克里奇,8.9,美国 / 喜剧,2010,594307
一个叫欧维的男人决定去死,汉内斯·赫尔姆,8.9,瑞典 / 剧情,2015,570927
完美的世界,克林特·伊斯特伍德,9.1,美国 / 剧情,1993,361010
色，戒,李安,8.7,中国香港 / 剧情,2007,963748
阳光灿烂的日子,姜文,8.8,中国香港 / 剧情,1994,697155
怪兽电力公司,彼特·道格特 Pete Docter,8.8,美国 / 儿童,2001,772263
小森林 夏秋篇,森淳一,9.0,日本 / 剧情,2014,474582
教父3,弗朗西斯·福特·科波拉,9.0,美国 / 剧情,1990,433683
天使爱美丽,让-皮埃尔·热内,8.7,德国 / 剧情,2001,1022411
侧耳倾听,近藤喜文,8.9,日本 / 剧情,1995,521701
哪吒闹海,王树忱 Shuchen Wang,9.2,中国大陆 / 冒险,1979,309197
九品芝麻官,王晶,8.8,中国香港 / 剧情,1994,796409
被解救的姜戈,昆汀·塔伦蒂诺,8.8,美国 / 剧情,2012,694483
请以你的名字呼唤我,卢卡·瓜达尼诺,8.8,美国 / 剧情,2017,826853
幸福终点站,史蒂文·斯皮尔伯格,8.8,美国 / 喜剧,2004,643914
釜山行,延尚昊,8.6,韩国 / 动作,2016,1353220
神偷奶爸,皮艾尔·柯芬 Pierre Coffin,8.7,法国 / 喜剧,2010,1049093
小森林 冬春篇,森淳一,9.0,日本 / 剧情,2015,421721
喜宴,李安,9.0,美国 / 剧情,1993,433262
萤火之森,大森贵弘,8.8,日本 / 剧情,2011,612878
告白,中岛哲也,8.8,日本 / 剧情,2010,745627
玛丽和麦克斯,亚当·艾略特,9.0,美国 / 剧情,2009,471927
七武士,黑泽明,9.3,日本 / 动作,1954,236593
头号玩家,史蒂文·斯皮尔伯格,8.6,美国 / 动作,2018,1520392
模仿游戏,莫滕·泰杜姆,8.8,美国 / 剧情,2014,721769
惊魂记,阿尔弗雷德·希区柯克,9.0,美国 / 悬疑,1960,357780
大鱼,蒂姆·波顿,8.8,美国 / 剧情,2003,628426
心灵奇旅,彼特·道格特 Pete Docter,8.7,美国 / 动画,2020,1146485
机器人之梦,巴勃罗·贝格尔,9.1,法国 / 剧情,2023,441679
背靠背，脸对脸,黄建新 Jianxin Huang,9.5,中国香港 / 剧情,1994,180888
射雕英雄传之东成西就,刘镇伟,8.7,中国香港 / 喜剧,1993,719589
血战钢锯岭,梅尔·吉布森,8.7,美国 / 剧情,2016,861610
你的名字。,新海诚,8.5,日本 / 剧情,2016,1597181
我是山姆,杰茜·尼尔森,9.0,美国 / 剧情,2001,377784
阳光姐妹淘,姜炯哲,8.8,韩国 / 剧情,2011,640044
恐怖直播,金秉祐,8.7,韩国 / 剧情,2013,730229
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski,8.8,美国 / 动作,2003,498736
末路狂花,雷德利·斯科特,9.0,法国 / 犯罪,1991,350651
小丑,托德·菲利普斯,8.7,加拿大 / 剧情,2019,1127785
高山下的花环,谢晋,9.5,中国大陆 / 剧情,1984,160336
谍影重重3,保罗·格林格拉斯,8.9,英国 / 动作,2007,472491
三块广告牌,马丁·麦克唐纳,8.7,美国 / 剧情,2017,922596
电锯惊魂,詹姆斯·温,8.7,美国 / 悬疑,2004,615130
无间道2,刘伟强 Andrew Lau,8.8,中国香港 / 剧情,2003,569313
达拉斯买家俱乐部,让-马克·瓦雷,8.8,美国 / 剧情,2013,507838
疯狂原始人,科克·德·米科 Kirk De Micco,8.7,美国 / 喜剧,2013,923694
绿里奇迹,弗兰克·德拉邦特,8.9,美国 / 犯罪,1999,389804
爱在午夜降临前,理查德·林克莱特,8.9,希腊 / 剧情,2013,475766
疯狂的石头,宁浩,8.6,中国香港 / 喜剧,2006,928772
雨中曲,斯坦利·多南 Stanley Donen,9.1,美国 / 喜剧,1952,270038
2001太空漫游,斯坦利·库布里克,8.9,美国 / 科幻,1968,398491
海街日记,是枝裕和,8.8,日本 / 剧情,2015,523308
风之谷,宫崎骏,8.9,日本 / 动画,1984,394654
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles,9.0,法国 / 犯罪,2002,334409
心迷宫,忻钰坤,8.7,中国大陆 / 剧情,2014,619917
英雄本色,吴宇森,8.6,中国香港 / 剧情,1986,608071
记忆碎片,克里斯托弗·诺兰,8.7,美国 / 犯罪,2000,671443
纵横四海,吴宇森,8.8,中国香港 / 剧情,1991,475385
无敌破坏王,瑞奇·莫尔,8.7,美国 / 喜剧,2012,613999
卢旺达饭店,特瑞·乔治,8.9,美国 / 剧情,2004,368299
恐怖游轮,克里斯托弗·史密斯,8.5,澳大利亚 / 科幻,2009,993641
牯岭街少年杀人事件,杨德昌,8.9,中国台湾 / 剧情,1991,371287
东京教父,今敏,9.0,日本 / 剧情,2003,292759
小偷家族,是枝裕和,8.7,日本 / 剧情,2018,897471
魔女宅急便,宫崎骏,8.7,日本 / 动画,1989,526642
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha,8.7,美国 / 喜剧,2002,687850
芙蓉镇,谢晋,9.3,中国大陆 / 剧情,1987,191104
忠犬八公物语,神山征二郎,9.2,日本 / 剧情,1987,219460
岁月神偷,罗启锐,8.7,中国大陆 / 剧情,2010,613777
遗愿清单,罗伯·莱纳,8.7,美国 / 冒险,2007,540832
荒蛮故事,达米安·斯兹弗隆,8.7,西班牙 / 剧情,2014,519983
大佛普拉斯,黄信尧,8.7,中国台湾 / 剧情,2017,556482
源代码,邓肯·琼斯,8.6,加拿大 / 科幻,2011,929324
花束般的恋爱,土井裕泰,8.6,日本 / 剧情,2021,832817
白日梦想家,本·斯蒂勒,8.6,英国 / 剧情,2013,652513
爱乐之城,达米恩·查泽雷,8.4,美国 / 剧情,2016,1124712
疯狂的麦克斯4：狂暴之路,乔治·米勒,8.7,美国 / 动作,2015,620717
可可西里,陆川,8.9,中国香港 / 剧情,2004,347811
你看起来好像很好吃,藤森雅也,8.9,日本 / 剧情,2010,377172
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle,8.6,英国 / 剧情,2008,808608
波西米亚狂想曲,布莱恩·辛格,8.6,美国 / 剧情,2018,692646
城市之光,查理·卓别林,9.3,美国 / 喜剧,1931,173781
爆裂鼓手,达米恩·查泽雷,8.6,美国 / 剧情,2014,693875
青蛇,徐克,8.6,中国大陆 / 剧情,1993,603083
东邪西毒,王家卫,8.6,中国台湾 / 剧情,1994,637097
哈利·波特与死亡圣器(上),大卫·叶茨,8.6,美国 / 奇幻,2010,698990
无耻混蛋,昆汀·塔伦蒂诺,8.7,美国 / 剧情,2009,565497
终结者2：审判日,詹姆斯·卡梅隆,8.8,法国 / 动作,1991,387584
大红灯笼高高挂,张艺谋,8.8,中国台湾 / 剧情,1991,374724
黑天鹅,达伦·阿罗诺夫斯基,8.6,美国 / 剧情,2010,849211
新龙门客栈,李惠民,8.7,中国大陆 / 动作,1992,512162
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,8.5,泰国 / 剧情,2010,1054202
千钧一发,安德鲁·尼科尔,8.8,美国 / 剧情,1997,352398
人工智能,史蒂文·斯皮尔伯格,8.7,美国 / 剧情,2001,504635
崖上的波妞,宫崎骏,8.6,日本 / 动画,2008,577746
雨人,巴瑞·莱文森,8.7,美国 / 剧情,1988,444369
虎口脱险,杰拉尔·乌里,8.9,英国 / 喜剧,1966,297515
哈利·波特与凤凰社,大卫·叶茨,8.6,美国 / 奇幻,2007,698892
彗星来的那一夜,詹姆斯·沃德·布柯特,8.6,英国 / 科幻,2013,688402
罗生门,黑泽明,8.8,日本 / 剧情,1950,359868
海边的曼彻斯特,肯尼斯·罗纳根,8.6,美国 / 剧情,2016,656192
恋恋笔记本,尼克·卡索维茨,8.5,美国 / 剧情,2004,752037
火星救援,雷德利·斯科特,8.5,约旦 / 剧情,2015,840315
真爱至上,理查德·柯蒂斯,8.5,法国 / 喜剧,2003,810399
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski,8.7,美国 / 动作,2003,457358
冰雪奇缘,克里斯·巴克 Chris Buck,8.5,美国 / 喜剧,2013,834410
步履不停,是枝裕和,8.8,日本 / 剧情,2008,329559
奇迹男孩,斯蒂芬·卓博斯基,8.6,中国香港 / 剧情,2017,602381
千年女优,今敏,8.8,日本 / 动画,2001,319541
战争之王,安德鲁·尼科尔,8.7,德国 / 剧情,2005,417119
谍影重重2,保罗·格林格拉斯,8.7,德国 / 动作,2004,401441
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti,8.6,美国 / 动作,2018,759905
攻壳机动队,押井守,9.0,日本 / 动作,1995,219554
血钻,爱德华·兹威克,8.7,英国 / 剧情,2006,423329
小姐,朴赞郁,8.5,韩国 / 剧情,2016,579780
隐藏人物,特奥多尔·梅尔菲,8.9,美国 / 剧情,2016,274294
血观音,杨雅喆,8.6,中国台湾 / 剧情,2017,566501
魂断蓝桥,茂文·勒鲁瓦,8.8,美国 / 剧情,1940,311761
房间,伦尼·阿伯拉罕森,8.7,美国 / 剧情,2015,401056
